9/5/2564,00:17:00,2,8.918370000000001,8.918370000000001,2,2,6.918370000000001
9/5/2564,00:19:00,2,8.92,8.92,2.00,2.00,6.92
9/5/2564,00:20:00,2,8.92,8.92,2.00,2.00,6.92
9/5/2564,00:22:00,2,8.92,8.92,2.00,2.00,6.92
9/5/2564,08:30:00,2,8.11,8.11,NaN,NaN,NaN
9/5/2564,13:39:00,2,8.29,8.29,0.00,0.00,8.29
9/5/2564,13:40:00,2,8.29,16.59,0.00,0.00,16.59
9/5/2564,13:41:00,2,8.29,24.88,0.00,0.00,24.88
9/5/2564,13:42:00,2,8.29,8.29,0.00,0.00,8.29
10/5/2564,08:30:00,2,8.11,8.11,0.00,0.00,8.11
11/5/2564,08:30:00,2,8.02,16.14,0.00,0.00,16.14
12/5/2564,08:30:00,2,8.11,24.25,0.00,0.00,24.25
13/5/2564,08:30:00,2,7.94,7.94,0.00,0.00,7.94
14/5/2564,08:30:00,2,7.85,15.78,0.00,0.00,15.78
15/5/2564,08:30:00,2,8.11,23.90,0.00,0.00,23.90
16/5/2564,08:30:00,2,8.56,8.56,0.00,0.00,8.56
17/5/2564,08:30:00,2,8.56,17.12,0.00,0.00,17.12
19/5/2564,08:30:00,2,8.20,8.20,NaN,NaN,NaN
20/5/2564,08:30:00,2,9.10,17.30,37.60,37.60,NaN
21/5/2564,08:30:00,2,9.28,9.28,0.00,0.00,9.28
22/5/2564,08:30:00,2,9.45,18.73,0.00,0.00,18.73
23/5/2564,08:30:00,2,9.10,27.83,0.00,0.00,27.83
24/5/2564,08:30:00,2,9.10,36.92,0.00,0.00,36.92
25/5/2564,08:30:00,2,8940.91,8977.83,0.00,0.00,8977.83
26/5/2564,08:30:00,2,8940.91,17918.74,0.00,0.00,17918.74
27/5/2564,08:30:00,2,8.56,17927.30,0.00,0.00,17927.30
28/5/2564,08:30:00,2,8.83,17936.13,0.00,0.00,17936.13
29/5/2564,08:30:00,2,7.76,7.76,NaN,NaN,NaN
30/5/2564,08:30:00,2,8.56,16.32,NaN,NaN,NaN
1/6/2564,08:30:00,2,15.33,31.64,0.00,0.00,NaN
